timestamp,session,stage,filters_applied,sample_size,p_model_ug,p_model_u,p_model_ux,p_model_o,p_model_i,p_model_dx,p_model_d,p_model_dg
2025-05-12T00:00:00-04:00,AS,inactive,{},0,,,,,,,,
2025-05-12T00:05:00-04:00,AS,inactive,{},0,,,,,,,,
2025-05-12T00:10:00-04:00,AS,inactive,{},0,,,,,,,,
2025-05-12T00:15:00-04:00,AS,inactive,{},0,,,,,,,,
2025-05-12T00:20:00-04:00,AS,inactive,{},0,,,,,,,,
2025-05-12T00:25:00-04:00,AS,inactive,{},0,,,,,,,,
2025-05-12T00:30:00-04:00,AS,inactive,{},0,,,,,,,,
2025-05-12T00:35:00-04:00,AS,inactive,{},0,,,,,,,,
2025-05-12T00:40:00-04:00,AS,inactive,{},0,,,,,,,,
2025-05-12T00:45:00-04:00,AS,inactive,{},0,,,,,,,,
2025-05-12T00:50:00-04:00,AS,inactive,{},0,,,,,,,,
2025-05-12T00:55:00-04:00,AS,inactive,{},0,,,,,,,,
2025-05-12T01:00:00-04:00,AS,inactive,{},0,,,,,,,,
2025-05-12T01:05:00-04:00,AS,inactive,{},0,,,,,,,,
2025-05-12T01:10:00-04:00,AS,inactive,{},0,,,,,,,,
2025-05-12T01:15:00-04:00,AS,inactive,{},0,,,,,,,,
2025-05-12T01:20:00-04:00,AS,inactive,{},0,,,,,,,,
2025-05-12T01:25:00-04:00,AS,inactive,{},0,,,,,,,,
2025-05-12T01:30:00-04:00,AS,inactive,{},0,,,,,,,,
2025-05-12T01:35:00-04:00,AS,inactive,{},0,,,,,,,,
2025-05-12T01:40:00-04:00,AS,inactive,{},0,,,,,,,,
2025-05-12T01:45:00-04:00,AS,inactive,{},0,,,,,,,,
2025-05-12T01:50:00-04:00,AS,inactive,{},0,,,,,,,,
2025-05-12T01:55:00-04:00,AS,inactive,{},0,,,,,,,,
2025-05-12T02:00:00-04:00,TO,inactive,{},0,,,,,,,,
2025-05-12T02:05:00-04:00,TO,inactive,{},0,,,,,,,,
2025-05-12T02:10:00-04:00,TO,inactive,{},0,,,,,,,,
2025-05-12T02:15:00-04:00,TO,inactive,{},0,,,,,,,,
2025-05-12T02:20:00-04:00,TO,inactive,{},0,,,,,,,,
2025-05-12T02:25:00-04:00,TO,inactive,{},0,,,,,,,,
2025-05-12T02:30:00-04:00,TO,inactive,{},0,,,,,,,,
2025-05-12T02:35:00-04:00,TO,inactive,{},0,,,,,,,,
2025-05-12T02:40:00-04:00,TO,inactive,{},0,,,,,,,,
2025-05-12T02:45:00-04:00,TO,inactive,{},0,,,,,,,,
2025-05-12T02:50:00-04:00,TO,inactive,{},0,,,,,,,,
2025-05-12T02:55:00-04:00,TO,inactive,{},0,,,,,,,,
2025-05-12T03:00:00-04:00,OR,inactive,{},0,,,,,,,,
2025-05-12T03:05:00-04:00,OR,inactive,{},0,,,,,,,,
2025-05-12T03:10:00-04:00,OR,inactive,{},0,,,,,,,,
2025-05-12T03:15:00-04:00,OR,inactive,{},0,,,,,,,,
2025-05-12T03:20:00-04:00,OR,inactive,{},0,,,,,,,,
2025-05-12T03:25:00-04:00,OR,inactive,{},0,,,,,,,,
2025-05-12T03:30:00-04:00,OR,inactive,{},0,,,,,,,,
2025-05-12T03:35:00-04:00,OR,inactive,{},0,,,,,,,,
2025-05-12T03:40:00-04:00,OR,inactive,{},0,,,,,,,,
2025-05-12T03:45:00-04:00,OR,inactive,{},0,,,,,,,,
2025-05-12T03:50:00-04:00,OR,inactive,{},0,,,,,,,,
2025-05-12T03:55:00-04:00,OR,inactive,{},0,,,,,,,,
2025-05-12T04:00:00-04:00,OS,inactive,{},0,,,,,,,,
2025-05-12T04:05:00-04:00,OS,inactive,{},0,,,,,,,,
2025-05-12T04:10:00-04:00,OS,inactive,{},0,,,,,,,,
2025-05-12T04:15:00-04:00,OS,inactive,{},0,,,,,,,,
2025-05-12T04:20:00-04:00,OS,inactive,{},0,,,,,,,,
2025-05-12T04:25:00-04:00,OS,inactive,{},0,,,,,,,,
2025-05-12T04:30:00-04:00,OS,inactive,{},0,,,,,,,,
2025-05-12T04:35:00-04:00,OS,inactive,{},0,,,,,,,,
2025-05-12T04:40:00-04:00,OS,inactive,{},0,,,,,,,,
2025-05-12T04:45:00-04:00,OS,inactive,{},0,,,,,,,,
2025-05-12T04:50:00-04:00,OS,inactive,{},0,,,,,,,,
2025-05-12T04:55:00-04:00,OS,inactive,{},0,,,,,,,,
2025-05-12T05:00:00-04:00,OS,inactive,{},0,,,,,,,,
2025-05-12T05:05:00-04:00,OS,inactive,{},0,,,,,,,,
2025-05-12T05:10:00-04:00,OS,inactive,{},0,,,,,,,,
2025-05-12T05:15:00-04:00,OS,inactive,{},0,,,,,,,,
2025-05-12T05:20:00-04:00,OS,inactive,{},0,,,,,,,,
2025-05-12T05:25:00-04:00,OS,inactive,{},0,,,,,,,,
2025-05-12T05:30:00-04:00,OS,inactive,{},0,,,,,,,,
2025-05-12T05:35:00-04:00,OS,inactive,{},0,,,,,,,,
2025-05-12T05:40:00-04:00,OS,inactive,{},0,,,,,,,,
2025-05-12T05:45:00-04:00,OS,inactive,{},0,,,,,,,,
2025-05-12T05:50:00-04:00,OS,inactive,{},0,,,,,,,,
2025-05-12T05:55:00-04:00,OS,inactive,{},0,,,,,,,,
2025-05-12T06:00:00-04:00,OS,inactive,{},0,,,,,,,,
