session_id,day_date,session,end,action,pred_mu,pred_sigma,score,pred_pnl,pnl_points_net,entered,outcome_code,equity_points,risk_pts,pnl_R,equity_R,qty,pnl_dollars,equity_dollars,walk_train_start,walk_train_end,walk_test_start,walk_test_end
ES-20121221-AR,2012-12-21,AR,2012-12-23 20:25:00-05:00,breakout_long,2.2611684799194336,7.178987188710122,-1.3283251144356276,2.2611684799194336,-2.0,1.0,1,-2.0,10.207155320501501,-0.195940978382382,-0.195940978382382,,-100.0,,2008-10-01,2012-09-30,2012-10-01,2012-12-31
ES-20130208-RR,2013-02-08,RR,2013-02-08 10:25:00-05:00,breakout_short,1.3001452684402466,1.9987777312969088,0.30075640279179217,1.3001452684402466,0.0,0.0,-1,-2.0,2.1527216555596715,,-0.195940978382382,,,,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130305-RR,2013-03-05,RR,2013-03-05 10:25:00-05:00,breakout_short,1.7838072776794434,2.60998601098532,0.4788142721867834,1.7838072776794434,0.0,0.0,-1,-2.0,2.8207408507993508,,-0.195940978382382,,,,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130503-RR,2013-05-03,RR,2013-05-03 10:25:00-04:00,mid_revert_long,1.2886478900909424,1.7854188688332127,0.39593845567433605,1.2886478900909424,0.0,0.0,-1,-2.0,2.1741226300570675,,-0.195940978382382,,,,2009-04-01,2013-03-31,2013-04-01,2013-06-30
ES-20130718-RR,2013-07-18,RR,2013-07-18 10:25:00-04:00,breakout_short,1.3644336462020874,3.0629524363860887,-0.16704257199095696,1.3644336462020874,0.0,0.0,-1,-2.0,3.729747945483997,,-0.195940978382382,,,,2009-07-01,2013-06-30,2013-07-01,2013-09-30
ES-20130906-RR,2013-09-06,RR,2013-09-06 10:25:00-04:00,fade_low_long,1.5015451908111572,0.0,1.5015451908111572,1.5015451908111572,0.0,0.0,-1,-2.0,1.8949025934901704,,-0.195940978382382,,,,2009-07-01,2013-06-30,2013-07-01,2013-09-30
ES-20140203-RR,2014-02-03,RR,2014-02-03 10:25:00-05:00,fade_low_long,1.598737359046936,2.7137844296823084,0.24184514420578185,1.598737359046936,-2.4580589348720423,1.0,0,-4.458058934872042,2.2080589348720734,-1.113221615624337,-1.309162594006719,,-122.90294674360212,,2010-01-01,2013-12-31,2014-01-01,2014-03-31
ES-20140402-RR,2014-04-02,RR,2014-04-02 10:25:00-04:00,fade_high_short,1.0402047634124756,2.700130678475982,-0.3098605758255155,1.0402047634124756,-2.7315105756056255,1.0,0,-7.189569510477668,2.4815105756055473,-1.1007450874711957,-2.4099076814779146,,-136.57552878028127,,2010-04-01,2014-03-31,2014-04-01,2014-06-30
ES-20140527-RR,2014-05-27,RR,2014-05-27 10:25:00-04:00,fade_high_short,1.2818922996520996,2.1722306433750487,0.19577697796457527,1.2818922996520996,-0.5,1.0,1,-7.689569510477668,2.920159836446419,-0.1712235041929953,-2.58113118567091,,-25.0,,2010-04-01,2014-03-31,2014-04-01,2014-06-30
ES-20141020-RR,2014-10-20,RR,2014-10-20 10:25:00-04:00,breakout_long,2.537245273590088,6.577510270415537,-0.7515098616176807,2.537245273590088,8.5,1.0,1,0.8104304895223322,6.908935385274295,1.2302908517739073,-1.3508403338970025,,425.0,,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141021-RR,2014-10-21,RR,2014-10-21 10:25:00-04:00,breakout_long,1.7488855123519897,6.134949368965128,-1.3185891721305745,1.7488855123519897,16.648010627227677,1.0,2,17.45844111675001,6.759204250891056,2.463013397624875,1.1121730637278724,,832.4005313613839,,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141104-RR,2014-11-04,RR,2014-11-04 10:25:00-05:00,breakout_long,2.6174583435058594,5.605019241014135,-0.18505127700120827,2.6174583435058594,0.0,0.0,-1,17.45844111675001,6.991959668075929,,1.1121730637278724,,,,2010-10-01,2014-09-30,2014-10-01,2014-12-31
