session_id,day_date,session,end,action,pred_mu,pred_sigma,pred_R_mu,score,pred_pnl,pnl_points_net,entered,outcome_code,equity_points,risk_pts,pnl_R,equity_R,qty,pnl_dollars,equity_dollars,walk_train_start,walk_train_end,walk_test_start,walk_test_end
ES-20141020-RR,2014-10-20,RR,2014-10-20 10:25:00-04:00,breakout_long,1.2148215770721436,0.0,0.1758333968011069,1.2148215770721436,1.2148215770721436,8.5,1.0,1,8.5,6.908935385274295,1.2302908517739073,1.2302908517739073,0.57896040083478,246.05817035478148,246.05817035478148,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141021-RR,2014-10-21,RR,2014-10-21 10:25:00-04:00,breakout_long,1.8221992254257202,0.0,0.26958783279636833,1.8221992254257202,1.8221992254257202,16.648010627227677,1.0,2,25.148010627227677,6.759204250891056,2.463013397624875,3.693304249398782,0.5917856380020896,492.6026795249749,738.6608498797564,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141022-RR,2014-10-22,RR,2014-10-22 10:25:00-04:00,breakout_long,1.4292361736297607,0.0,0.21228539790167797,1.4292361736297607,1.4292361736297607,-6.982616504747739,1.0,0,18.16539412247994,6.732616504747657,-1.037132666003446,2.656171583395336,0.5941226560549393,-207.42653320068916,531.2343166790672,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141023-RR,2014-10-23,RR,2014-10-23 10:25:00-04:00,breakout_long,1.3594603538513184,0.0,0.20117254741686275,1.3594603538513184,1.3594603538513184,-3.75,1.0,1,14.415394122479938,6.757683249068234,-0.5549239083552872,2.101247675040049,0.591918835578973,-110.98478167105743,420.2495350080098,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141024-RR,2014-10-24,RR,2014-10-24 10:25:00-04:00,breakout_long,1.2616759538650513,0.0,0.18731059105349165,1.2616759538650513,1.2616759538650513,5.5,1.0,1,19.91539412247994,6.735742740274335,0.8165394986234279,2.917787173663477,0.5938469080897658,163.3078997246856,583.5574347326954,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141027-RR,2014-10-27,RR,2014-10-27 10:25:00-04:00,breakout_long,3.9806854724884033,0.0,0.6007006325575639,3.9806854724884033,3.9806854724884033,2.5,1.0,1,22.41539412247994,6.626737607283845,0.37725954280309815,3.295046716466575,0.6036152684849571,75.45190856061963,659.0093432933149,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141029-RR,2014-10-29,RR,2014-10-29 10:25:00-04:00,breakout_long,1.4353368282318115,0.0,0.20558326784783523,1.4353368282318115,1.4353368282318115,0.0,0.0,-1,22.41539412247994,6.981778445579493,,3.295046716466575,,,659.0093432933149,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141030-RR,2014-10-30,RR,2014-10-30 10:25:00-04:00,breakout_long,1.0952664613723755,0.0,0.15393021192882633,1.0952664613723755,1.0952664613723755,10.75,1.0,1,33.16539412247994,7.115344334605351,1.510819363683858,4.805866080150433,0.5621653446265518,302.16387273677157,961.1732160300865,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141104-RR,2014-11-04,RR,2014-11-04 10:25:00-05:00,breakout_long,3.3559629917144775,0.0,0.4799745923932056,3.3559629917144775,3.3559629917144775,0.0,0.0,-1,33.16539412247994,6.991959668075929,,4.805866080150433,,,961.1732160300865,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141105-RR,2014-11-05,RR,2014-11-05 10:25:00-05:00,breakout_long,0.9027307033538818,0.0,0.12798068860344763,0.9027307033538818,0.9027307033538818,0.0,0.0,-1,33.16539412247994,7.053647805810941,,4.805866080150433,,,961.1732160300865,2010-10-01,2014-09-30,2014-10-01,2014-12-31
