session_id,day_date,session,end,action,pred_mu,pred_sigma,score,pred_pnl,pnl_points_net,entered,outcome_code,equity_points,risk_pts,pnl_R,equity_R,qty,pnl_dollars,equity_dollars,walk_train_start,walk_train_end,walk_test_start,walk_test_end
ES-20120914-RR,2012-09-14,RR,2012-09-14 10:25:00-04:00,breakout_short,2.024278163909912,2.501712593946387,0.7734218669367185,2.024278163909912,-3.097523161959316,1.0,0,-3.097523161959316,2.847523161959269,-1.0877955984133354,-1.0877955984133354,,-154.8761580979658,,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20130117-RR,2013-01-17,RR,2013-01-17 10:25:00-05:00,breakout_short,2.1522741317749023,2.6510879622478467,0.826730150650979,2.1522741317749023,0.0,0.0,-1,-3.097523161959316,3.0179288820053274,,-1.0877955984133354,,,,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130718-RR,2013-07-18,RR,2013-07-18 10:25:00-04:00,breakout_short,2.732952117919922,2.3935951282410843,1.5361545537993797,2.732952117919922,0.0,0.0,-1,-3.097523161959316,3.729747945483997,,-1.0877955984133354,,,,2009-07-01,2013-06-30,2013-07-01,2013-09-30
ES-20131021-RR,2013-10-21,RR,2013-10-21 10:25:00-04:00,breakout_long,1.4880402088165283,1.2173806346994398,0.8793498914668084,1.4880402088165283,0.0,0.0,-1,-3.097523161959316,2.1027863720111486,,-1.0877955984133354,,,,2009-10-01,2013-09-30,2013-10-01,2013-12-31
ES-20140205-RR,2014-02-05,RR,2014-02-05 10:25:00-05:00,breakout_long,4.012880802154541,3.9233473487502115,2.0512071277794353,4.012880802154541,-4.539598803470653,1.0,0,-7.637121965429969,4.289598803470655,-1.0582805086102054,-2.146076107023541,,-226.97994017353267,,2010-01-01,2013-12-31,2014-01-01,2014-03-31
ES-20141027-RR,2014-10-27,RR,2014-10-27 10:25:00-04:00,breakout_long,4.385568141937256,5.201566812244758,1.7847847358148767,4.385568141937256,2.5,1.0,1,-5.137121965429969,6.626737607283845,0.37725954280309815,-1.768816564220443,,125.0,,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141028-RR,2014-10-28,RR,2014-10-28 10:25:00-04:00,breakout_long,3.489151954650879,4.2489678868682565,1.3646680112167506,3.489151954650879,10.0,1.0,1,4.862878034570031,6.75121821365756,1.4812141577308564,-0.28760240648958657,,500.0,,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141104-RR,2014-11-04,RR,2014-11-04 10:25:00-05:00,breakout_long,5.1850786209106445,4.91581018175458,2.7271735300333546,5.1850786209106445,0.0,0.0,-1,4.862878034570031,6.991959668075929,,-0.28760240648958657,,,,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141110-RR,2014-11-10,RR,2014-11-10 10:25:00-05:00,breakout_long,3.427168369293213,4.967802521200741,0.9432671086928424,3.427168369293213,4.0,1.0,1,8.86287803457003,6.873576407633753,0.5819386826860066,0.29433627619642,,200.0,,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141112-RR,2014-11-12,RR,2014-11-12 10:25:00-05:00,breakout_long,5.279611587524414,3.8242925650434847,3.3674653050026717,5.279611587524414,0.25,1.0,1,9.11287803457003,7.01286411945184,0.0356487728468267,0.3299850490432467,,12.5,,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20141113-RR,2014-11-13,RR,2014-11-13 10:25:00-05:00,breakout_long,4.596590042114258,3.866700421109249,2.6632398315596335,4.596590042114258,-5.750762506952469,1.0,0,3.3621155276175614,5.500762506952553,-1.0454482446177116,-0.7154631955744648,,-287.53812534762346,,2010-10-01,2014-09-30,2014-10-01,2014-12-31
