session_id,day_date,session,end,action,pred_mu,pred_sigma,score,pred_pnl,pnl_points_net,entered,outcome_code,equity_points,risk_pts,pnl_R,equity_R,qty,pnl_dollars,equity_dollars,walk_train_start,walk_train_end,walk_test_start,walk_test_end
ES-20120203-RR,2012-02-03,RR,2012-02-03 10:25:00-05:00,breakout_long,1.3581904172897339,0.0,1.3581904172897339,1.3581904172897339,-2.5866361336443333,1.0,0,-2.5866361336443333,2.3366361336443573,-1.1069914123129052,-1.1069914123129052,,-129.33180668221667,,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120312-RR,2012-03-12,RR,2012-03-12 10:25:00-04:00,breakout_long,1.1657289266586304,0.0,1.1657289266586304,1.1657289266586304,0.0,0.0,-1,-2.5866361336443333,1.4714386086232343,,-1.1069914123129052,,,,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120417-RR,2012-04-17,RR,2012-04-17 10:25:00-04:00,breakout_long,0.9502795338630676,0.0,0.9502795338630676,0.9502795338630676,6.157874473111633,1.0,2,3.5712383394672997,2.563149789244691,2.4024637572688388,1.2954723449559336,,307.89372365558165,,2008-04-01,2012-03-31,2012-04-01,2012-06-30
ES-20120501-RR,2012-05-01,RR,2012-05-01 10:25:00-04:00,breakout_short,0.7967568635940552,0.0,0.7967568635940552,0.7967568635940552,0.0,0.0,-1,3.5712383394672997,2.315707235381861,,1.2954723449559336,,,,2008-04-01,2012-03-31,2012-04-01,2012-06-30
ES-20120713-RR,2012-07-13,RR,2012-07-13 10:25:00-04:00,breakout_short,1.1345106363296509,0.0,1.1345106363296509,1.1345106363296509,0.0,0.0,-1,3.5712383394672997,2.1783549442544508,,1.2954723449559336,,,,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20120809-RR,2012-08-09,RR,2012-08-09 10:25:00-04:00,breakout_short,0.8300696015357971,0.0,0.8300696015357971,0.8300696015357971,-3.433298314310832,1.0,0,0.13794002515646753,3.1832983143109157,-1.0785348953555531,0.21693744960038042,,-171.6649157155416,,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20120824-RR,2012-08-24,RR,2012-08-24 10:25:00-04:00,breakout_long,1.3728556632995605,0.0,1.3728556632995605,1.3728556632995605,5.170155337403003,1.0,2,5.30809536255947,2.1680621349611844,2.384689651662389,2.6016271012627694,,258.50776687015014,,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20120904-RR,2012-09-04,RR,2012-09-04 10:25:00-04:00,breakout_short,0.8172277808189392,0.0,0.8172277808189392,0.8172277808189392,-2.2779299790672667,1.0,0,3.0301653834922035,2.0279299790672627,-1.1232784181803903,1.478348683082379,,-113.89649895336333,,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20120906-RR,2012-09-06,RR,2012-09-06 10:25:00-04:00,breakout_long,1.1983394622802734,0.0,1.1983394622802734,1.1983394622802734,4.973224326832906,1.0,2,8.00338971032511,2.0892897307331846,2.3803421103724447,3.858690793454824,,248.6612163416453,,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20120907-RR,2012-09-07,RR,2012-09-07 10:25:00-04:00,breakout_long,1.9853678941726685,0.0,1.9853678941726685,1.9853678941726685,0.0,1.0,1,8.00338971032511,2.6624521246004185,0.0,3.858690793454824,,0.0,,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20120914-RR,2012-09-14,RR,2012-09-14 10:25:00-04:00,breakout_short,2.024278163909912,0.0,2.024278163909912,2.024278163909912,-3.097523161959316,1.0,0,4.905866548365793,2.847523161959269,-1.0877955984133354,2.770895195041488,,-154.8761580979658,,2008-07-01,2012-06-30,2012-07-01,2012-09-30
