session_id,day_date,session,end,action,pred_pnl,pnl_points_net,entered,outcome_code,equity_points,walk_train_start,walk_train_end,walk_test_start,walk_test_end
ES-20120313-RR,2012-03-13,RR,2012-03-13 10:25:00-04:00,breakout_long,2.7907114028930664,3.441985452157951,1.0,2,3.441985452157951,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120326-RR,2012-03-26,RR,2012-03-26 10:25:00-04:00,breakout_long,2.126457691192627,3.2686299292402055,1.0,2,6.710615381398156,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120215-RR,2012-02-15,RR,2012-02-15 10:25:00-05:00,breakout_short,1.713842749595642,4.5806007853441315,1.0,2,11.291216166742288,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120105-RR,2012-01-05,RR,2012-01-05 10:25:00-05:00,breakout_long,1.6195317506790161,-2.8372600320965375,1.0,0,8.45395613464575,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120327-RR,2012-03-27,RR,2012-03-27 10:25:00-04:00,breakout_short,1.6040788888931274,-1.6300147787155765,1.0,0,6.823941355930174,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120125-RR,2012-01-25,RR,2012-01-25 10:25:00-05:00,breakout_long,1.5246227979660034,5.984850059396422,1.0,2,12.808791415326596,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120130-RR,2012-01-30,RR,2012-01-30 10:25:00-05:00,breakout_long,1.5234168767929077,5.248953249674287,1.0,2,18.057744665000882,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120307-RR,2012-03-07,RR,2012-03-07 10:25:00-05:00,breakout_long,1.5015398263931274,3.7569583801837325,1.0,2,21.814703045184615,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120117-RR,2012-01-17,RR,2012-01-17 10:25:00-05:00,breakout_short,1.3297230005264282,-2.840976243568548,1.0,0,18.973726801616067,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120216-RR,2012-02-16,RR,2012-02-16 10:25:00-05:00,breakout_long,1.3043323755264282,-1.866322987524427,1.0,0,17.10740381409164,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120227-RR,2012-02-27,RR,2012-02-27 10:25:00-05:00,breakout_long,1.0970362424850464,4.212356255977511,1.0,2,21.31976007006915,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120223-RR,2012-02-23,RR,2012-02-23 10:25:00-05:00,breakout_long,0.98993319272995,4.205901431336542,1.0,2,25.525661501405693,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120113-RR,2012-01-13,RR,2012-01-13 10:25:00-05:00,fade_low_long,0.7279754877090454,0.0,0.0,-1,25.525661501405693,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120118-RR,2012-01-18,RR,2012-01-18 10:25:00-05:00,breakout_long,0.5760773420333862,-2.827228213247281,1.0,0,22.698433288158412,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES-20120621-RR,2012-06-21,RR,2012-06-21 10:25:00-04:00,breakout_short,2.6272149085998535,6.638070708994292,1.0,2,29.336503997152704,2008-04-01,2012-03-31,2012-04-01,2012-06-30
ES-20120611-RR,2012-06-11,RR,2012-06-11 10:25:00-04:00,breakout_short,2.2379519939422607,-2.778781691270524,1.0,0,26.55772230588218,2008-04-01,2012-03-31,2012-04-01,2012-06-30
ES-20120410-RR,2012-04-10,RR,2012-04-10 10:25:00-04:00,breakout_short,1.9533246755599976,3.6308052864130786,1.0,2,30.18852759229526,2008-04-01,2012-03-31,2012-04-01,2012-06-30
ES-20120606-RR,2012-06-06,RR,2012-06-06 10:25:00-04:00,breakout_long,1.854573130607605,6.3184496839055555,1.0,2,36.506977276200814,2008-04-01,2012-03-31,2012-04-01,2012-06-30
ES-20120516-RR,2012-05-16,RR,2012-05-16 10:25:00-04:00,breakout_short,1.8426629304885864,-2.765870676954137,1.0,0,33.74110659924668,2008-04-01,2012-03-31,2012-04-01,2012-06-30
ES-20120426-RR,2012-04-26,RR,2012-04-26 10:25:00-04:00,breakout_long,1.6304705142974854,5.603895464155585,1.0,2,39.34500206340226,2008-04-01,2012-03-31,2012-04-01,2012-06-30
ES-20120628-AR,2012-06-28,AR,2012-06-28 20:25:00-04:00,breakout_short,1.4744658470153809,0.0,0.0,-1,39.34500206340226,2008-04-01,2012-03-31,2012-04-01,2012-06-30
ES-20120518-RR,2012-05-18,RR,2012-05-18 10:25:00-04:00,breakout_short,1.3690825700759888,6.244794854140309,1.0,2,45.58979691754257,2008-04-01,2012-03-31,2012-04-01,2012-06-30
ES-20120614-RR,2012-06-14,RR,2012-06-14 10:25:00-04:00,breakout_long,1.231598138809204,-2.974643868568137,1.0,0,42.615153048974435,2008-04-01,2012-03-31,2012-04-01,2012-06-30
ES-20120615-RR,2012-06-15,RR,2012-06-15 10:25:00-04:00,breakout_long,1.171750783920288,-2.9081552764434946,1.0,0,39.70699777253094,2008-04-01,2012-03-31,2012-04-01,2012-06-30
ES-20120629-RR,2012-06-29,RR,2012-06-29 10:25:00-04:00,breakout_long,1.1556769609451294,6.106332317171336,1.0,2,45.813330089702276,2008-04-01,2012-03-31,2012-04-01,2012-06-30
ES-20120412-RR,2012-04-12,RR,2012-04-12 10:25:00-04:00,breakout_long,1.1030855178833008,3.5946123872106455,1.0,2,49.40794247691292,2008-04-01,2012-03-31,2012-04-01,2012-06-30
ES-20120417-RR,2012-04-17,RR,2012-04-17 10:25:00-04:00,breakout_long,1.0598924160003662,6.157874473111633,1.0,2,55.565816950024555,2008-04-01,2012-03-31,2012-04-01,2012-06-30
ES-20120612-RR,2012-06-12,RR,2012-06-12 10:25:00-04:00,breakout_long,1.0558706521987915,6.564250137337922,1.0,2,62.13006708736248,2008-04-01,2012-03-31,2012-04-01,2012-06-30
ES-20120504-RR,2012-05-04,RR,2012-05-04 10:25:00-04:00,breakout_short,1.0104787349700928,6.816050574662086,1.0,2,68.94611766202456,2008-04-01,2012-03-31,2012-04-01,2012-06-30
ES-20120517-RR,2012-05-17,RR,2012-05-17 10:25:00-04:00,breakout_short,1.0003706216812134,-2.718052449753941,1.0,0,66.22806521227062,2008-04-01,2012-03-31,2012-04-01,2012-06-30
ES-20120402-RR,2012-04-02,RR,2012-04-02 10:25:00-04:00,breakout_long,0.9296661019325256,-1.6685681253698021,1.0,0,64.55949708690082,2008-04-01,2012-03-31,2012-04-01,2012-06-30
ES-20120605-RR,2012-06-05,RR,2012-06-05 10:25:00-04:00,breakout_long,0.8031100630760193,-2.7379975038065822,1.0,0,61.82149958309424,2008-04-01,2012-03-31,2012-04-01,2012-06-30
ES-20120601-RR,2012-06-01,RR,2012-06-01 10:25:00-04:00,breakout_short,0.6764686703681946,-2.6682692810747994,1.0,0,59.15323030201944,2008-04-01,2012-03-31,2012-04-01,2012-06-30
ES-20120521-RR,2012-05-21,RR,2012-05-21 10:25:00-04:00,breakout_long,0.5237493515014648,6.131511122808206,1.0,2,65.28474142482764,2008-04-01,2012-03-31,2012-04-01,2012-06-30
ES-20120418-RR,2012-04-18,RR,2012-04-18 10:25:00-04:00,fade_low_long,0.5043410062789917,3.5575841905886136,1.0,2,68.84232561541626,2008-04-01,2012-03-31,2012-04-01,2012-06-30
ES-20120925-RR,2012-09-25,RR,2012-09-25 10:25:00-04:00,breakout_short,3.2416322231292725,8.104304752326016,1.0,2,76.94663036774227,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20120921-RR,2012-09-21,RR,2012-09-21 10:25:00-04:00,breakout_short,2.870471477508545,4.75,1.0,1,81.69663036774227,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20120910-RR,2012-09-10,RR,2012-09-10 10:25:00-04:00,breakout_short,2.5273845195770264,4.5,1.0,1,86.19663036774227,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20120710-RR,2012-07-10,RR,2012-07-10 10:25:00-04:00,breakout_short,2.3377254009246826,5.293173106813811,1.0,2,91.48980347455608,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20120727-RR,2012-07-27,RR,2012-07-27 10:25:00-04:00,breakout_long,2.1613361835479736,7.470111615466749,1.0,2,98.95991509002283,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20120913-RR,2012-09-13,RR,2012-09-13 10:25:00-04:00,breakout_long,2.153275489807129,6.687440729950595,1.0,2,105.64735581997343,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20120816-RR,2012-08-16,RR,2012-08-16 10:25:00-04:00,breakout_long,2.104386329650879,5.621692097862706,1.0,2,111.26904791783613,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20120824-RR,2012-08-24,RR,2012-08-24 10:25:00-04:00,breakout_long,1.8378002643585205,5.170155337403003,1.0,2,116.43920325523914,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20120906-RR,2012-09-06,RR,2012-09-06 10:25:00-04:00,breakout_long,1.7467210292816162,4.973224326832906,1.0,2,121.41242758207204,2008-07-01,2012-06-30,2012-07-01,2012-09-30
ES-20120808-RR,2012-08-08,RR,2012-08-08 10:25:00-04:00,breakout_long,1.5816501379013062,2.25,1.0,1,123.66242758207204,2008-07-01,2012-06-30,2012-07-01,2012-09-30
